"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"46"	"*选育品种"	"70"	"27.0"	"揭上二号"	"蔓生"	"G42-93"	"JIE SHANG ER HAO"	"50"	"细长条"	"中"	"广东广州市蔬菜所"	"0.9"	"--"	"肾形"	"黑"	"浅绿"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0105"	"V07E0156"	"2-9播"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"56.0"
"47"	"*选育品种"	"70"	"24.0"	"揭上一号"	"蔓生"	"G42-94"	"JIE SHANG YI HAO"	"50"	"细长条"	"中"	"广东广州市蔬菜所"	"0.9"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1800"	"浅紫"	"Ⅱ7E0106"	"V07E0157"	"2-9播"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"53.0"
"48"	"--"	"68"	"18.0"	"双青豆角"	"蔓生"	"G42-67"	"SHUANG QING DOU JIAO"	"59"	"扁条"	"中"	"广东南海县"	"0.5"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1000"	"浅紫"	"Ⅱ7E0296"	"V07E0184"	"3-8"	"--"	"--"	"弱"	"弱"	"0.6"	"好"	"--"	"47.5"
"49"	"--"	"--"	"37.0"	"西园白豆角"	"蔓生"	"G42-207"	"XI YUAN BAI DOU JIAO"	"--"	"细长条"	"较多"	"广东南海县"	"0.9"	"--"	"肾形"	"黑"	"白"	"--"	"中"	"广东农科院经作所"	"2000"	"白"	"Ⅱ7E0783"	"V07E0185"	"2-37-8"	"--"	"--"	"中"	"中"	"1.4"	"好"	"--"	"75.0"
"50"	"--"	"52"	"17.5"	"齐尾青"	"蔓生"	"G42-234"	"QI WEI QING"	"45"	"细长条"	"中"	"广东南海县"	"0.7"	"--"	"肾形"	"浅红"	"绿"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E1005"	"V07E0186"	"3-9"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"49.5"
"51"	"--"	"62"	"24.0"	"花青仔豆角"	"蔓生"	"G42-222"	"HUA QING ZI DOU JIAO"	"51"	"细长条"	"少"	"广东南海县"	"0.6"	"--"	"肾形"	"浅红"	"绿"	"--"	"中"	"广东农科院经作所"	"425"	"浅紫"	"Ⅱ7E1044"	"V07E0187"	"8-10月"	"--"	"褐"	"中下"	"弱"	"0.6"	"好"	"--"	"48.0"
"52"	"--"	"66"	"17.0"	"茶龙白豆"	"蔓生"	"G42-141"	"CHA LONG BAI DOU"	"58"	"棍形"	"多"	"广东农科院"	"0.5"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E0798"	"V07E0188"	"3-8"	"--"	"浅粽"	"强"	"强"	"0.5"	"好"	"--"	"55.5"
"53"	"*"	"80"	"29.0"	"粤夏三号"	"蔓生"	"G42-113"	"YUE XIA SAN HAO"	"60"	"细长条"	"中"	"广东农科院"	"0.9"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0591"	"V07E0189"	"2-6播"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"52.5"
"54"	"*"	"80"	"18.0"	"粤夏一号"	"蔓生"	"G42-115"	"YUE XIA YI HAO"	"60"	"细长条"	"--"	"广东农科院"	"0.6"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0119"	"V07E0190"	"2-6播"	"--"	"白"	"中"	"中"	"0.6"	"好"	"--"	"45.0"
"55"	"--"	"69"	"25.0"	"一拮下"	"蔓生"	"G42-143"	"YI JIE XIA"	"60"	"棍形"	"少"	"广东农科院"	"0.7"	"--"	"肾形"	"浅棕"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"浅紫"	"Ⅱ7E0312"	"V07E0191"	"3-9"	"--"	"--"	"强"	"强"	"0.7"	"好"	"--"	"46.0"
"56"	"--"	"60"	"20.0"	"快四一号"	"蔓生"	"G42-161"	"KUAI SI YI HAO"	"56"	"扁条"	"中"	"广东农科院"	"0.5"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"2400"	"浅紫"	"Ⅱ7E0148"	"V07E0192"	"2-9"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"54.0"
"57"	"--"	"75"	"25.0"	"二七二号"	"蔓生"	"G42-152"	"ER QI ER HAO"	"70"	"细长条"	"中"	"广东农科院"	"0.5"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0314"	"V07E0193"	"3-8"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"50.0"
"58"	"--"	"61"	"15.4"	"齐尾青三号"	"蔓生"	"G42-137"	"QI WEI QING SAN HAO"	"57"	"细长条"	"少"	"广东农科院"	"0.6"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E0145"	"V07E0194"	"3-8"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"49.0"
"59"	"*"	"80"	"18.0"	"大叶青"	"蔓生"	"G42-52"	"DA YE QING"	"60"	"细长条"	"少"	"广东农科院"	"0.8"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0253"	"V07E0195"	"3-9播"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"54.0"
