"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"68"	"白绿"	"白荷包茄"	"湖南"	"6-B43"	"中"	"--"	"1000"	"湖南长沙市"	"BAI HE BAO QIE"	"9"	"60"	"54.0"	"湖南农科院蔬菜所"	"Ⅱ6B0685"	"V06B0297"	"1上-7中"	"中"	"--"	"305.0"	"致密"	"抗"	"65.0"	"卵形"
"69"	"白"	"乳白茄"	"湖南"	"6-B19"	"耐热"	"*"	"1126"	"湖南长沙市"	"RU BAI QIE"	"8"	"75"	"52.4"	"湖南农科院蔬菜所"	"Ⅱ6B0437"	"V06B0298"	"2下-11下"	"晚"	"--"	"125.0"	"--"	"抗"	"64.7"	"长卵形"
"70"	"其它"	"黑油亮"	"吉林"	"71"	"--"	"--"	"2250"	"吉林前郭县"	"HEI YOU LIANG"	"7"	"33"	"95.0"	"吉林省蔬菜所"	"Ⅱ6B0577"	"V06B0362"	"--"	"早"	"--"	"175.0"	"--"	"中"	"80.0"	"长卵形"
"71"	"黑紫"	"长茄一号"	"吉林"	"144"	"--"	"*"	"1750"	"吉林省蔬菜所"	"CHANG QIE YI HAO"	"10"	"48"	"90.0"	"吉林省蔬菜所"	"Ⅱ6B0214"	"V06B0363"	"3中-5下-7上中"	"中"	"--"	"175.0"	"软嫩"	"抗黄萎病"	"75.0"	"羊角形"
"72"	"绿"	"青牛腿"	"吉林"	"176"	"--"	"*"	"1276"	"吉林双辽县"	"QING NIU TUI"	"11"	"50"	"105.0"	"吉林省蔬菜所"	"Ⅱ6B0576"	"V06B0364"	"3中-5下-7中下"	"晚"	"--"	"220.0"	"软嫩"	"抗黄萎病"	"79.0"	"圆筒形"
"73"	"绿"	"青羊角茄"	"吉林"	"174"	"--"	"*"	"1250"	"吉林四平市"	"QING YANG JIAO QIE"	"9"	"49"	"80.0"	"吉林省蔬菜所"	"Ⅱ6B0575"	"V06B0365"	"3中-5下-7中"	"中"	"--"	"157.0"	"软嫩"	"抗黄萎病"	"73.0"	"羊角形"
"74"	"黑紫"	"羊角茄子Z-3"	"吉林"	"150"	"--"	"--"	"--"	"吉林通化农业站"	"YANG JIAO QIE ZI Z-3"	"11"	"59"	"105.0"	"吉林省蔬菜所"	"Ⅱ6B0778"	"V06B0366"	"3中-7下"	"晚"	"--"	"182.5"	"--"	"中"	"74.6"	"圆筒形"
"75"	"黑紫"	"通选一号"	"吉林"	"153"	"--"	"--"	"--"	"吉林通化市"	"TONG XUAN YI HAO"	"9"	"38"	"95.5"	"吉林省蔬菜所"	"Ⅱ6B0571"	"V06B0369"	"3中-7上"	"早"	"--"	"145.0"	"--"	"中"	"72.4"	"圆筒形"
"76"	"紫"	"佳一号"	"吉林"	"236"	"--"	"--"	"3534"	"吉林引自佳木斯"	"JIA YI HAO"	"8"	"48"	"71.4"	"吉林省蔬菜所"	"Ⅱ6B0805"	"V06B0377"	"3中-5下"	"中"	"--"	"135.0"	"--"	"抗"	"60.2"	"圆筒形"
"77"	"黑紫"	"苏州牛角茄"	"江苏"	"81-1-65"	"耐寒"	"*"	"2000"	"江苏苏州市"	"SU ZHOU NIU JIAO QIE"	"9"	"40"	"60.0"	"江苏农科院蔬菜所"	"Ⅱ6B0346"	"V06B0414"	"4中-5下8"	"早"	"少"	"88.0"	"松"	"不抗褐斑病"	"68.0"	"弯曲圆条形"
