"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"1"	"148糯"	"水稻"	"主要作物"	"育成品种"	"从丽恢622/处州糯//处州糯中选育而成。"	"籼型优质糯米，抗叶瘟达到0级水平，耐旱性较强，综合性状优良。"	"综合性状优良的糯米品种，可作特色糯米直接在生产上利用，也可作育种的亲本利用。"		"中国水稻研究所"
"2"	"1652（哲蓖3号）"	"蓖麻"	"油料作物"	"育成品种"	"内蒙古地方品种“绿茎刺”X“永293-21”杂交选育而成"	"种子含油率49.9%，出仁率72.5%；株高160-200cm，主穗位20cm，单株成熟穗6-8个；生育期87天，单株粒数302粒，单株粒重105克，百粒重29.1克；裂蒴性差，抗枯萎病，抗倒伏，适应性广。"	"高产、优质、抗逆性强、适应性广，是目前北方蓖麻主产区当家品种，增产效益显著。也是育种和杂优利用的优良亲本材料。"		"内蒙古通辽市农科所、中国农科院油料所"
"3"	"1716（哲蓖4号）"	"蓖麻"	"油料作物"	"育成品种"	"内蒙古地方品种“永117”X“永270”杂交选育而成"	"种子含油率51.01%，百粒重31.7克，出仁率75.3%；株高208cm，主穗位38.7cm，单株成熟穗6-7个，生育期94天；单株粒数306-330粒，单株粒重100-130克，百粒重31.7克。蒴果无刺，易于采收，不裂蒴，抗枯萎病，较抗灰霉病，抗旱、耐涝、耐瘠，适应性强。"	"是内蒙古东部、华北北部及东北地区主推品种，其不裂朔，蒴果无刺，种子含油率高，一般配合力高等特性，是蓖麻育种和杂优利用的好亲本材料。"		"内蒙古通辽市农科所、中国农科院油料所"
"4"	"3735莲藕"	"莲藕"	"蔬菜"	"育成品种"	"武汉市蔬菜科学研究所鄂莲二号X鄂莲一号杂交选育获得。"	"早中熟，成熟藕一般5~6节，节间均匀，主藕总长120cm，藕肉厚实，通气孔小，藕形粗壮，表皮白色，少皮锈，单支藕重平均3.3kg，充分成熟，亩产2500~3000kg，抗逆性强，尤其抗莲藕腐败病，高产稳产。淀粉含量（占鲜重）为10.25%，Vc含量为40mg/100g。"	"综合性状稳定，特别适合于长江流域及其以南各省种植。该品种的育成，解决了育种和生产中长期没有抗性强（特别是抗莲藕腐败病）、高产稳产、藕形粗壮、节间均匀，皮白等优良性状的品种，已在湖北、四川、广东、河南等地大面积推广试种，推广面积达10万亩，创经济效益2亿元。"		"武汉市蔬菜科学研究所"
"5"	"555"	"大豆"	"主要作物"	"高代品系"	"铁丰8号×铁7116选育而成"	"农艺性状优良，抗大豆花叶病毒病、霜霉病，抗逆性较强，耐盐碱，耐瘠。植株分枝多，株型收敛，结荚密，抗倒伏。"	"可作为优异材料，提供育种单位利用。"		"辽宁省铁岭大豆所"
"6"	"74-3"	"红麻"	"棉麻"	"育成品种"	"广东省农科院从杂交后代中经多年选择获得"	"株型结构合理，麻茎粗细均匀，生长整齐，生长势旺，杆硬抗倒伏；种性稳定，一般早播不早花，全生育期230天左右；超高产类型，纤维产量296公斤/亩，比青皮3号增产20.11%，鲜茎出麻率高达6%；中抗红麻炭疽病；束纤维支数237支，纤维强力401.8牛顿/克，达到纺织要求；抗逆性强，适应性广，遗传基础稳定。"	"是一高产型种质配合力较高，作亲本易于取得育种突破。是我国红麻主产区当家品种之一，利用该种质系选出“选2”和“选1”等优良品种推广利用，多家育种单位利用其作亲本选育出一批有希望的后代材料。"		"中国农科院麻类所"
"7"	"79018"	"甜菜"	"糖烟"	"高代品系"	"中国农科院甜菜所用“GW49-29”与“B-RP优”、“A31405”、“L62优”三份材料的优良母根多系自然杂交、回交、单株选择而成"	"抗病丰产，根产量比对照“甜研302”增产21.6%-30.0%，含糖率仅低0.45-0.99度，褐斑病低0.5-0.57级"	"该种质高产、抗病，是解决当前我国甜菜育种和生产上单产水平不高的重要种质。已被国内几个甜菜育种单位利用，效果非常显著，已育成几个优良组合或高代品系。"		"中国农科院甜菜研究所"
"8"	"8-2"	"大麦"	"杂粮"	"地方品种"	"从杨州地区农科所收集来。"	"高抗大麦黄花叶病，属显性遗传，半矮秆，株型好。"	"为抗病育种提供了抗源。上海市农科院用“8-2”做抗源育成“沪麦16(95-2)”，已通过上海市品种审定，2000年推广面积达2万公顷。育出品系多个，均表现高产、高抗大麦黄花叶病。"		"中国农科院品资所"
"9"	"86-12-7"	"茶树"	"茶桑"	"育成品种"	"云南省农业科学院福鼎大白茶X长叶白毫杂交后代鉴定筛选获得。"	"特早生材料，一芽三叶开采期在2月下旬，比福鼎大白茶早20天以上；5~6足龄平均单产干茶68.49公斤，红碎茶茶黄素含量1.7%。经农业部茶叶质量监督测试中心对红碎茶品质进行三年重复鉴定，制茶品质显著优于云抗10号。"	"86-12-7是优异红茶品种，打破了我国红茶出口长期不敌印度、肯尼亚的局面；有效解决了云南大叶茶香气低、抗寒性弱等缺点；因其来源于人工杂交后代，对研究茶树的遗传育种也有重要意义。该材料是红、绿茶兼优种质，在澜沧、昌宁、临沧等地推广，利用效果显著。"		"云南省农业科学院茶叶研究所"
"10"	"86-9-12"	"茶树"	"茶桑"	"育成品种"	"云南省农业科学院福鼎大白茶X云抗10号杂交后代鉴定筛选获得。"	"特早生材料，一芽三叶开采期在3月中旬，比福鼎大白茶早10天以上；5~6足龄平均单产干茶127.55公斤，比福鼎大白茶增产67%；红碎茶茶黄素含量1.3%。经农业部茶叶质量监督测试中心对红碎茶品质进行三年重复鉴定，制茶品质显著优于云抗10号。"	"86-9-12是优异红茶品种，打破了我国红茶出口长期不敌印度、肯尼亚的局面；有效解决了云南大叶茶香气低、抗寒性弱等缺点；因其来源于遗传基础差异较大的种质杂交后代，对研究茶树的遗传育种也有重要意义。已育成优异品系，在澜沧、昌宁、临沧等地推广，利用效果显著。"		"云南省农业科学院茶叶研究所"
"11"	"8905-1"	"大豆"	"主要作物"	"高代品系"	"多亲本有性杂交，集团选择育成。"	"“8905-1”是高产，高蛋白，高固氮，与大豆根瘤菌共生效应强，富硒能力强的极早熟春大豆品种。适合南方产区水田，旱地种植，生育期80天左右，蛋白质含量50.56%。"	"该种质为高产，高固氮，高蛋白育种提供了新种质。是开发高蛋白，高硒营养食品的优良专用种质。在生产上利用，可省能省肥，保护土壤环境，提高经济效益和生态效益。还可发高蛋白，富硒营养保健食品，市场开发潜力大应用前景广阔。"		"中国农科院油料所"
"12"	"8970茭白"	"茭白"	"蔬菜"	"突变体"	"武汉市蔬菜科学研究所从西安引进的中介茭大田中发现一秋茭早熟的变株。"	"双季茭，秋茭早熟，9月上旬上市；夏茭中熟，6月上市。夏茭株高180~190cm，秋茭株高240~250cm。4月上旬栽植，6月可收带娘茭400~500kg。肉质茎竹笋形，表皮光滑，商品性好，肉质茎长20~21cm，宽3.5~4.0cm，单茭重90~100g，产量二季均可达1250~1500kg，对胡麻叶斑病有较强的抗性，抗逆性强。"	"品种表皮光滑，皮色白，茭肉内无黑粉菌冬孢子，商品性好，夏茭和秋茭产量均高达1250~1500公斤。秋茭上市在9月10日左右，表现极早熟，比普通的双季茭的秋茭提早8~10天左右上市，且上市时间集中，解决了长期以来秋茭上市迟，采收时期分散的重大生产难题。已在武汉、江西、海南、湖南等地推广。"		"武汉市蔬菜科学研究所"
"13"	"912"	"小麦"	"主要作物"	"高代品系"	"“品9176”／“91024”(苏)／／“M9019”复合杂交选育而成。"	"抗寒，抗最低温强度-19.4℃(30d)，极端低温值-33℃(3d)。抗倒伏，抗旱，中早熟。"	"适于长城沿线以北辽、冀(北)、陕、甘、宁、内蒙、黑龙江等省区种植，属优质麦。还可作为优异抗寒抗旱亲本供育种利用。"		"中国农科院品资所"
"14"	"91499"	"水稻"	"主要作物"	"品代品系"	"(阳1号//矮利3号/矮脚桂花)F1///巴75"	"穗大粒多，产量高，米质优，综合性状优良，无垩白，透明度1级，食味好。"	"该品系为中籼优质多抗种质，可望在生产上直接利用，也可作优质亲本利用。"		"中国水稻研究所"
"15"	"92鉴46"	"小麦"	"主要作物"	"高代品系"	"用“832－748”与“墨西哥0103”杂交、选育而成。"	"该种质属面条、馒头专用小麦，丰产、抗旱、抗条锈病，综合农艺性状良好。"	"目前春麦区生产的关键问题是培育专用优质品种，该种质可望成为甘肃中部春麦区的主要接替种之一。目前上述地区示范种植面积超过10万亩。"		"中国农科院品资所"
"16"	"93063"	"小麦"	"主要作物"	"高代品系"	"用“M450S”与“87(30)”杂交选育而成。"	"大穗多粒，穗长13-15cm，千粒重45g，综合性状较好，株型较紧凑，田间自然发病白粉病属慢病型。"	"可作为综合性状较好的大穗多粒优异亲本供育种利用。酒泉市农科所用该种质做亲本配制杂交组合20多个，已选出F4，后代表现大穗多粒，综合性状突出，有望培育出适合酒泉地区种植的优良品种。在北京市大兴县试种，穗部性状表现突出，将继续选择。"		"中国农科院品资所"
"17"	"93746-1"	"大豆"	"主要作物"	"高代品系"	"用抗线虫种质3045菜豆与当地当家品种杂交转育而成。"	"综合农艺性状优良，具有高产潜力，抗胞囊线虫1、3、5号小种，抗病毒病，抗霜霉病，有限结荚习性，含油22.94%，蛋白质40.10%。"	"高油，高产，抗病，可直接生产利用。"		"山东省农科院作物所"
"18"	"94D-22"	"水稻"	"主要作物"	"高代品系"	"用分子育种技术获得。受体亲本是“圭630号”，供体DNA为禾稗总DNA。"	"对淹涝胁迫和铁毒胁迫中等偏强耐性。综合农艺性状好，分蘖力强，株叶型好，中等大小穗型，结穗率高，米质好，抗病性较强，后期落色好。"	"直接用于生产，在湖南、湖北多点示范面积1000多亩，普遍做水稻耐铁毒，耐淹涝品种改良育种的核心材料，正在广泛加以利用。还是一份广谱恢复系，在配制三系和两系杂交组合中将得到进一步开发利用。"		"中国科学院长沙农业现代化研究所"
"19"	"95-4"	"大豆"	"主要作物"	"高代品系"	"杂交选育而成。"	"在湖北省区试产量属首位。高产，高固氮，抗病。"	"该种质是我国首创高产、高固氮新种质，2000年通过湖北省品种审定，可减少氮肥施用量，保护土壤环境，提高经济效益和生态效益，正在扩大繁种。并已用作高产固氮亲本配制新组合，杂交后代优势强。"		"中国农科院油料所"
"20"	"954017（新红花4号）"	"红花"	"油料作物"	"育成品种"	"新疆农科院经作所用“9122”X美国高油有刺红花“AC-1”杂交选育而成"	"品质好，种子含油率39.6%，亚油酸含量79.2%，是目前国内无刺红花中含油率最高的种质资源；株型合理，高度适中，无效分枝少，有效果球大，果球直径2.0-2.2cm；抗（耐）根腐病和锈病；抗旱、耐盐碱、耐瘠薄；平均亩产133.7公斤，亩产油量53.07公斤，亩产花丝21.66公斤。"	"是理想的油花兼用品种，也是国内第一个高油红花新品种，拟大面积推广，并可作育种亲本材料。"		"新疆农科院经作所"
"21"	"958055（新红花3号）"	"红花"	"油料作物"	"育成品种"	"新疆农科院经作所用“吉红1号”X美国高油有刺红花“李德品种”杂交选育而成"	"品质优异属高油酸类型种质，油酸含量56%，亚油酸含量35.4%，含油率30.88%；植株紧凑，适于密植，果球大，直径2.0-2.5cm；抗旱、耐寒、抗倒伏，抗（耐）根腐病和锈病；高产，平均亩产子量136.92公斤，亩产油量42.28公斤，亩产花丝23.58公斤。"	"该种质在育种上解决了高油酸的难题，填补了我国高油酸种质的空白，同时在生产上增加了籽实和花的产量，拟大面积推广，也可作育种亲本材料。"		"新疆农科院经作所"
"22"	"968"	"小麦"	"主要作物"	"高代品系"	"“柳捷斯特1866”／“诺卡达”／／“纪念米罗诺夫50”复合杂交选育而成。"	"抗寒，抗旱，在辽阳、赤峰等地三年越冬率达96-100%，抗极端值-31℃(3d)，低温强度值-18℃(30d)。抗倒，抗叶锈。"	"适宜长城沿线以北沈阳、赤峰、冀北、陕、甘、宁等省区种植(复种)，还可作为抗寒抗旱亲本供育种利用。"		"中国农科院品资所"
"23"	"96W1130"	"小麦"	"主要作物"	"高代品系"	"用“86-6544”与“87(30)”杂交选育而成。"	"多粒大穗，千粒重461g，综合性状好，抗寒性较好。"	"可作为综合性状较好的大穗多粒优异亲本供育种利用。安徽省农科院作物所用该种质做亲本配制杂交组合，已选出表现较好的F4，有的株系性状已趋向稳定。即将参加2001年品系比较试验。"		"中国农科院品资所"
"24"	"96京矮3-11"	"谷子"	"杂粮"	"高代品系"	"系选宽九×京谷1号杂交选育而成"	"适应在华北、江北产谷区，综合农艺性状好；矮秆，直立不倒伏；抗白发和黑穗病；含蛋白质13.16%，脂肪5.23%，赖氨酸0.28%；亩产可达到350公斤。"	"可作为优质源，抗源材料用于谷子育种。已利用其作亲本配育出一批优质高代品系。"		"中国农科院品资所"
"25"	"96－143(143)"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum2n=4x=28,PPPP)进行远缘杂交、回交、自交后人工创造的新种质。"	"抗寒、抗旱性突出，综合抗病能力强，成穗率高，早熟，落黄好，籽粒外观品质好，综合农艺性状优良。"	"对拓宽小麦育种遗传基础，培育早熟，抗逆小麦新品种有重要价值。西北农林科技大学干旱半旱研究中心连续三年试种认为该种有直接利用的可能，同时用其做亲本配制了9个杂交组合，获得F3。"		"中国农科院品资所"
"26"	"96－4004"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum,2n=4x=28,PPPP)进行远缘杂交、回交、自交后人工创造的新种质。"	"综合农艺性状良好，综合抗病性好，抗倒伏、大粒。"	"该种质对于拓宽小麦育种遗传基础，培育综合抗病性好，高产小麦新品种具有重要价值。陕西省农科院小麦研究中心已用该种质做亲本配制杂交组合，已获得F2，其优异性状在后代中表现突出。"		"中国农科院品资所"
"27"	"96－4252"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum,2n=4x=28,PPPP)进行远缘杂交、回交、自交后人工创造的新种质。"	"综合农艺性状良好，矮秆、早熟且熟相好。"	"对于拓宽小麦育种遗传基础，培育矮秆、早熟小麦新品种具有重要价值。陕西省农科院小麦研究中心已用其做亲本配制杂交组合，已获得F2。且优异性状在后代中表现突出。"		"中国农科院品资所"
"28"	"97-37"	"小麦"	"主要作物"	"高代品系"	"用“诺卡达(加)”与“烟1604”杂交选择而成。"	"抗寒、抗低温强度-16℃(30d)，极端低温值-29℃，抗旱，抗倒伏，中早熟。"	"属优质麦，适于长城沿线以北辽、冀、陕、甘、宁等省区种植。更适合旱种、间作种植。还可作为抗寒亲本供育种利用。"		"中国农科院品资所"
"29"	"971"	"黄麻"	"棉麻"	"育成品种"	"广东农科院利用715与梅峰4号杂交，通过系谱选育而成。"	"生长势强，植株高大，株型紧凑，生长整齐，有效株多，亩产纤维达220公斤以上；高抗炭疽病；纤维支数500支以上；干皮精洗率高达57.54%；适应性强。"	"既优质又高产，为目前园果种黄麻栽培种中最优良品种，已在华南麻区与长沙流域麻区大面积推广利用。已利用其作亲本配制出一批优异高代品系。"		"中国农科院麻类所"
"30"	"98－4186"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(AgropyromCristatum2n=4x=28，PPPP)进行远缘杂交，回交‘自交后人工创造的新种质。"	"该种质为中筋优质面条、镘头小麦，抗寒、抗旱、抗白粉病和条锈病。综合农艺性状优良。"	"该种质具有外源血统以及中筋优质、抗病、抗逆等优异性状，对于拓宽小麦育种遗传基础，培育优质专用、抗逆小麦新品种具有重要价值。西北农林科技大学干旱半干旱研究中心通过连续2年试种，认为该种质有直接利用的可能，并利用其做亲本配制了8个组合。"		"中国农科院品资所"
"31"	"98－5335－56"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Fukoho”与冰草(Agropyroncristatum2n=4x=28,PPPP)进行远缘杂交、回交、自交后人工创造的新种质。"	"该种质为强筋优质面包小麦。抗寒、抗旱性突出，中抗白粉病和条锈病，综合农艺性状优良。"	"该种质具有外源血统以及成穗率高，良好的抗逆性，强筋优质等优异性状对于拓宽小麦育种遗传基础，培育优质专用、抗逆小麦具有重要价值。西北农林科技大学干旱半干旱研究中心连续2年试种认为有直接利用的可能，并已配置杂交组合7个。"		"中国农科院品资所"
"32"	"Albolia 
          Plecoce"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进。"	"大粒种质，千粒重为38.6g。"	"可做大粒亲本利用。"		"中国水稻研究所"
