"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"84"	"“早魁蜜”"	"蟠桃"	"果树"	"育成品种"	"江苏省农业科学院园艺所晚蟋桃X扬州124#杂交后代鉴定筛选获得。"	"成熟期于6月底至7月初，比原栽品种撒花红、陈圃等早20天。果实大，平均果重130g，大果重达180~200g，比大果蟋桃扬124#单果重21g；可溶性固形物为12~15%，果味甜浓，有香气。"	"早魁蜜蟋桃早熟，填补了蟋桃在极早熟桃品种中的空白。该品种果大、质优、丰产、适应性广，全国各桃区均可种植，亦适合保护地栽培，因其果大，成熟早，商品性好，经济效益和社会效益显著。已在江苏、上海、江西、山东、河北、河南、福建、四川等省（市）推广3500余亩。"		"江苏省农业科学院园艺所"
"85"	"东农9674"	"大豆"	"主要作物"	"高代品系"	"东农82-56×绥78-5054杂交选育而成"	"综合农艺性状良好，高抗灰斑病和SMVI号株系病毒。固氮能力强，根系发达，耐重茬。"	"是抗病育咱和抗病育种的优异材料，已提供育种单位利用，并选出若干品系。"		"黑龙江省农科院育种所"
"86"	"中19A与中19B"	"水稻"	"主要作物"	"新型不育系"	"用籼粳亚种间杂交、测交、回交选育而成。"	"中19A的不育性达到国家三系标准。开花习性好，柱头大，外露率达80.3%以上，其中双边外露率达50.3g，最高异交结实率为80%以上，易制种繁种。米质达国家部颁优质米二级标准。"	"该种质为新型雄性不育系，丰富了我国杂交稻资源，其开花习性好，柱头大，外露率高，易制种繁种，降低成本提高了经济效益。现已选配出一批中19A有苗头的组合进一步研究利用。"		"中国水稻研究所"
"87"	"中419"	"水稻"	"主要作物"	"育成品种(新恢复系)"	"用恢复系BP63为母本，明恢63为父本杂交，选育、测交而成。"	"秧苗素质好，根系发达抗倒性强，叶型好，分蘖率中等，主穗平均每穗总粒数300粒，整个稻穗开花达8天，与野败型、矮败型、印尼水田谷型三系不育系有很强的恢复能力。高抗稻瘟病。"	"该种质表现大穗，配合力强，杂种优势明显，高抗稻瘟病，对杂交水稻育种具有很高的应用价值。已配制了杂交稻新组合，有望育成新品种。"		
"88"	"中430"	"水稻"	"主要作物"	"育成品种（新恢复系）"	"用广亲和品种“02428”与强恢复系“密阳46”杂交，再用其F1与恢复系“9320”杂交，选育而成。"	"特大穗品种，穗长27.6cm，平均穗总粒数达300粒以上，千粒重25.7g，单株有效穗16.3个，结实率93.1%，恢复能力强。"	"在杂交水稻超高产育种中做大穗亲本利用。已经配制并选育出几个有苗头的组合。"		"中国水稻研究所"
"89"	"中432"	"水稻"	"主要作物"	"新恢复系"	"用广亲和品种“02428”与强恢复系“密阳46”杂交，再用其F1与广亲和恢复系“中413”杂交，选育而成。"	"该种质为高抗白叶枯病，广亲和恢复系。穗长26.4cm，平均穗总粒数132粒以上，千粒重2８.3g，单株有效穗17个，结实率95%，杂种优势较强。"	"做抗病育种的亲本利用。"		"中国水稻研究所"
"90"	"中433"	"水稻"	"主要作物"	"新恢复系"	"用广亲和品种“02428”与强恢复系“密阳46”杂交，其F1与恢复系“9320”杂交，选育而成。"	"该种质为高抗褐飞虱恢复系。穗长27cm，平均穗总粒数117粒，单株有效穗15.1个，结实率94%，杂种优势较强。"	"作抗性育种的亲本资源。已配制了一批新组合待研究鉴定。"		"中国水稻研究所"
"91"	"中741"	"玉米"	"主要作物"	"高代品系"	"中国农科院作物所利用中7490与引自也门的阿西10杂交选育而成。"	"抗病性好，抗小斑病、丝黑穗病和矮花叶病，抗倒，适应性强，长穗(15.3cm)、大粒(千粒重300克)，一般配合力高，株型好，遗传稳定。"	"中741长穗大粒，抗病性突出，遗传稳定，一般配合力高，可直接测配组合在生产上利用，也可作为优异基础材料，具有重要利用价值。利用中741组配的大量组合中，多个材料表现突出。"		"中国农科院品资所"
"92"	"中双2 号"	"油菜"	"油料作物"	"育成品种"	"中国农科院油料所Sterr♂X甘油5号♀杂交选育而成"	"芥酸含量<1%，硫苷含量<30μml/g；高抗（耐）菌核病；综合农艺性状优异，每果粒数>20，适应性广，产量与常规高产油菜品种“中油821”相当；高抗冬、春寒；可作为油菜主要细胞质雄性不育系“波里马”的优良保持系。"	"由于具有优质、高产、抗病等多种优异性状，且可作POLCMS的优良保持系，利用价值高，被重点定为优异甘蓝型油菜种质提供育种利用。该种质初步解决了高产与抗性、高产与品质间矛盾的难题，是培育新一代优质油菜换代品种的主要亲本材料。同时由其转育的不育系育性彻底，为优异的保持系亲本材料。已用其作亲本育成甘蓝型油菜双低品种“中双4号”、高产优质品种“浙油758”，以及转育的双低不育系配制的“杂油3号”等。"		"中国农科院油料所"
"93"	"中旱1号"	"水稻"	"主要作物"		"从国际水稻所引进的印尼品种B6149F-MR6，经系统选育而成。"	"该种质剑叶挺拔，后期青秆黄熟，转色好，产量高，并有极强的再生能力。抗旱性强，米质优。"	"株型好，抗旱性强，产量高，作为旱稻可在缺水地区种植，湖北、浙江、江西、四川、海南等省的缺水地区作旱稻种植，表现出较高的增产潜力，作为育种亲本配制了一些杂交组合，正在作进一步研究。"		"中国水稻研究所"
"94"	"中旱3号"	"水稻"	"主要作物"		"从国际水稻所引进的巴西品种“CN6187-3”系统选育而成。"	"该种质为光壳稻，耐肥抗倒，分蘖中等，穗大粒多，平均每穗总粒数为118，结实率为95%，产量高，田间抗性好，米质优。"	"该种质抗旱性较强，产量高，米质优可作旱稻直接在生产上应用，在湖北、浙江、江西、四川、海南等省缺水地区种植，表现出较高的增产潜力。亦可作为育种亲本利用，并已得到一批中间材料，待进一步研究。"		"中国水稻研究所"
