"id"	"肉质"	"栽培季节"	"品种名称"	"叶形"	"瓜刺多少"	"种质库编号"	"单瓜重"	"商瓜次色"	"老瓜皮色"	"分枝性"	"生育期"	"熟性"	"结瓜习性"	"瓜形"	"备注"	"瓜面腊粉"	"风味"	"抗逆性"	"瓜棱形状"	"抗病虫性"	"种子来源"	"亩产"	"老瓜斑纹"	"商瓜皮色"	"老瓜次色"	"保存单位"	"商瓜斑纹"	"译名"	"统一编号"	"保存编号"	"生长习性"
"53"	"--"	"4上-6中"	"虎皮黄"	"掌状"	"--"	"Ⅱ5N0161"	"0.6"	"--"	"奶油色"	"中"	"80"	"早"	"主结"	"圆形"	"--"	"--"	"微甜"	"强"	"平"	"抗"	"吉林九站乡"	"1250"	"--"	"黄"	"--"	"吉林省蔬菜所"	"--"	"HU PI HUANG"	"V05Q0143"	"159"	"葡匐蔓生"
"54"	"--"	"4下-8中"	"黄金辉"	"掌状"	"无"	"Ⅱ5N0162"	"0.5"	"--"	"褐色"	"中"	"110"	"中"	"主蔓结"	"圆形"	"--"	"--"	"微甜"	"中"	"平"	"中"	"吉林九站乡"	"1250"	"--"	"黄"	"--"	"吉林省蔬菜所"	"--"	"HUANG JIN HUI"	"V05Q0144"	"160"	"葡匐蔓生"
"55"	"--"	"3下-7上中"	"棱形金瓜"	"心形"	"--"	"Ⅱ5N0055"	"0.3"	"--"	"奶油色"	"强"	"110"	"早"	"8-9"	"圆形"	"--"	"无"	"甜"	"中"	"平"	"抗"	"江西吉安市"	"1000"	"--"	"绿"	"--"	"南昌市蔬菜所"	"--"	"LENG XING JIN GUA"	"V05Q0167"	"Ⅱ5M0007"	"蔓生"
"56"	"细嫩"	"4上-7中"	"棱形金瓜"	"心形"	"无"	"Ⅱ5N0037"	"0.8"	"--"	"奶油色"	"强"	"70"	"早"	"6-7"	"圆形"	"--"	"少"	"甜"	"强"	"浅波状"	"抗"	"江西吉安市"	"750"	"--"	"黄"	"--"	"南昌市蔬菜所"	"--"	"LENG XING JIN GUA"	"V05Q0168"	"Ⅱ5M0007"	"蔓生"
"57"	"圆滑致密"	"3下-7下"	"黄金瓜"	"心形"	"--"	"Ⅱ5N0108"	"0.6"	"--"	"黄色"	"强"	"90"	"早"	"--"	"椭圆形"	"--"	"--"	"甜"	"强"	"棱"	"抗"	"江西九江市"	"2000"	"--"	"桔黄"	"--"	"南昌市蔬菜所"	"--"	"HUANG JIN GUA"	"V05Q0169"	"Ⅱ5M0004"	"蔓生"
"58"	"圆滑致密"	"3中-7上"	"南丰金瓜"	"微凹形"	"无"	"Ⅱ5N0080"	"0.5"	"--"	"黄色"	"--"	"65"	"中"	"7-8片叶"	"椭圆形"	"--"	"--"	"甜"	"强"	"--"	"抗"	"江西南丰县"	"875"	"--"	"桔黄"	"--"	"南昌市蔬菜所"	"--"	"NAN FENG JIN GUA"	"V05Q0170"	"Ⅱ5M0012"	"--"
"59"	"--"	"4上-7上"	"黄皮香瓜"	"心形"	"无"	"Ⅱ5N0035"	"0.5"	"--"	"黄色"	"中"	"120"	"中"	"侧1"	"圆柱形"	"--"	"无"	"甜"	"中"	"平"	"中"	"江西萍乡市"	"1500"	"--"	"黄"	"--"	"南昌市蔬菜所"	"--"	"HUANG PI XIANG GUA"	"V05Q0171"	"Ⅱ5M0003"	"葡匐蔓生"
"60"	"--"	"3下-7"	"上饶白瓤梨瓜"	"心形"	"--"	"Ⅱ5N0009"	"0.5"	"--"	"奶油色"	"强"	"135"	"--"	"3-5"	"梨形"	"--"	"少"	"甜"	"强"	"平"	"中"	"江西上饶市"	"1500"	"--"	"奶油色"	"--"	"南昌市蔬菜所"	"--"	"SHANG RAO BAI RANG LI GUA"	"V05Q0172"	"Ⅱ5M0010"	"蔓生"
"61"	"圆滑致密"	"4中-7下"	"甜瓜"	"掌状"	"--"	"Ⅱ5N0073"	"0.4"	"--"	"绿色"	"强"	"83"	"中"	"侧蔓结瓜"	"圆柱形"	"--"	"无"	"甜"	"耐热"	"浅波状"	"--"	"辽宁朝阳市"	"1250"	"--"	"绿"	"--"	"辽宁农科院园艺所"	"--"	"TIAN GUA"	"V05Q0173"	"5FA1"	"蔓生"
"62"	"--"	"4中-7下"	"八里香"	"掌状"	"--"	"Ⅱ5N0121"	"0.3"	"--"	"绿色"	"强"	"80"	"中"	"侧蔓结瓜"	"圆柱形"	"--"	"无"	"甜"	"--"	"浅波状"	"--"	"辽宁沈阳市"	"750"	"--"	"绿"	"--"	"辽宁农科院园艺所"	"--"	"BA LI XIANG"	"V05Q0174"	"5FA4"	"蔓生"
