"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"321"	"ZM013963"	"晋0456"	"太原218"	"太原116/太原843"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"早"	"29"	"10"	"116"	"34.5"	"15.66"	"山西
"
"322"	"ZM013964"	"晋0457"	"太原235"	"太原116/太原843"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"早"	"33"	"10"	"108"	"37.5"	"15.18"	"山西
"
"323"	"ZM013965"	"晋0458"	"太原265"	"Null"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中晚"	"34"	"9"	"102"	"32.7"	"18.12"	"山西
"
"324"	"ZM013966"	"晋0459"	"太原313"	"忻冬矮2号/太原85"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中晚"	"59"	"8"	"62"	"32.8"		"山西
"
"325"	"ZM013967"	"晋0460"	"太原336"	"Null"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中晚"	"49"	"11"	"99"	"38.3"	"14.62"	"山西
"
"326"	"ZM013968"	"晋0461"	"太原351"	"太原843/株727//洛夫林13"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"早"	"34"	"9"	"116"	"32.9"	"16.05"	"山西
"
"327"	"ZM013969"	"晋0462"	"太原356"	"Null"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"35"	"9"	"104"	"36.2"	"17.93"	"山西
"
"328"	"ZM013970"	"晋0463"	"太原360"	"太原80/工农12"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"46"	"8"	"105"	"36"	"15.29"	"山西
"
"329"	"ZM013971"	"晋0464"	"太原416"	"太原116/太原843"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"27"	"10"	"125"	"36.5"	"16.14"	"山西
"
"330"	"ZM013972"	"晋0465"	"太原431"	"工农6号/阿芙乐尔//工农6号"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"28"	"10"	"111"	"42.5"	"15.45"	"山西
"
"331"	"ZM013973"	"晋0466"	"太原434"	"工农6号/阿芙乐尔//工农6号"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中早"	"40"	"8"	"83"	"31"	"14.96"	"山西
"
"332"	"ZM013974"	"晋0467"	"太原475"	"肥40/高加索"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"28"	"8"	"93"	"41"	"15.0"	"山西
"
"333"	"ZM013975"	"晋0468"	"太原485"	"肥40/高加索"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"40"	"9"	"98"	"35"	"15.17"	"山西
"
"334"	"ZM013976"	"晋0469"	"太原510"	"Null"	"山西省农科院遗传所"	"顶"	"白"	"红"	"冬"	"中晚"	"47"	"11"	"94"	"33.1"	"16.14"	"山西
"
"335"	"ZM013977"	"晋0470"	"太原551"	"太原849/6204"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"40"	"8"	"100"	"36.5"	"15.47"	"山西
"
"336"	"ZM013978"	"晋0471"	"太原570"	"Null"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中"	"34"	"9"	"93"	"38.2"	"15.16"	"山西
"
"337"	"ZM013979"	"晋0472"	"太原578"	"Null"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"35"	"8"	"91"	"28.3"	"15.86"	"山西
"
"338"	"ZM013980"	"晋0473"	"太原601"	"9701/74117"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"24"	"9"	"96"	"38.7"		"山西
"
"339"	"ZM013981"	"晋0474"	"太原630"	"Null"	"山西省农科院遗传所"	"长"	"白"	"红"	"冬"	"中"	"37"	"8"	"79"	"35.7"		"山西
"
"340"	"ZM013982"	"晋0475"	"太原643"	"70126/974"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"早"	"32"	"8"	"104"	"46"	"16.39"	"山西
"
"341"	"ZM013983"	"晋0476"	"太原645"	"农大183/伊博1228//工农1号"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"33"	"6"	"80"	"32.9"	"19.5"	"山西
"
"342"	"ZM013984"	"晋0477"	"太原755"	"肥40/高加索"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"中"	"32"	"9"	"98"	"38"	"14.96"	"山西
"
"343"	"ZM013986"	"晋0479"	"太原798"	"7326/太原843"	"山西省农科院遗传所"	"长"	"白"	"白"	"冬"	"中"	"40"	"9"	"81"	"33.6"	"13.98"	"山西
"
"344"	"ZM013988"	"晋0481"	"太原843"	"工农3号/工农12"	"山西省农科院遗传所"	"顶"	"白"	"白"	"冬"	"早"	"25"	"8"	"89"	"37"	"15.64"	"山西
"
