"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"1125"	"3/5"	"Compositae(菊科)"	"27.21"	"印度"	"I4E00768"	"17"	"79.0"	"条纹"	"WHH01345"	"10/24"	"国外"	"--"	"41.7"	"PI 306980"	"锯齿"	"PI 306980"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w272"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"138.0"	"黄"
"1126"	"4/8"	"Compositae(菊科)"	"26.84"	"印度"	"I4E00769"	"22"	"71.0"	"条纹"	"WHH01346"	"10/24"	"国外"	"--"	"41.7"	"PI 306989"	"锯齿"	"PI 306989"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w273"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"136.0"	"黄"
"1127"	"4/18"	"Compositae(菊科)"	"33.30"	"印度"	"I4E00770"	"35"	"53.0"	"普通"	"WHH01347"	"10/24"	"国外"	"--"	"50.0"	"PI 307014"	"锯齿"	"PI 307014"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w275"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"143.0"	"桔黄"
"1128"	"4/18"	"Compositae(菊科)"	"31.90"	"印度"	"I4E00771"	"16"	"67.0"	"条纹"	"WHH01348"	"10/24"	"国外"	"--"	"50.0"	"PI 307021"	"锯齿"	"PI 307021"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w276"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"147.0"	"桔黄"
"1129"	"4/18"	"Compositae(菊科)"	"27.16"	"印度"	"I4E00772"	"11"	"78.0"	"条纹"	"WHH01349"	"10/24"	"国外"	"--"	"41.7"	"PI 307038"	"锯齿"	"PI 307038"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w277"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"137.0"	"白"
"1130"	"4/9"	"Compositae(菊科)"	"33.80"	"印度"	"I4E00773"	"19"	"75.0"	"条纹"	"WHH01350"	"10/24"	"国外"	"--"	"36.4"	"PI 307056"	"锯齿"	"PI 307056"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w281"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"145.0"	"桔黄"
"1131"	"4/9"	"Compositae(菊科)"	"26.15"	"印度"	"I4E00774"	"12"	"53.0"	"条纹"	"WHH01351"	"10/24"	"国外"	"--"	"28.6"	"PI 307077"	"锯齿"	"PI 307077"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w282"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"147.0"	"桔黄"
"1132"	"4/9"	"Compositae(菊科)"	"32.40"	"印度"	"I4E00775"	"14"	"62.0"	"条纹"	"WHH01352"	"10/24"	"国外"	"--"	"45.5"	"PI 307084"	"锯齿"	"PI 307084"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w283"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"139.0"	"桔黄"
"1133"	"4/9"	"Compositae(菊科)"	"28.02"	"印度"	"I4E00776"	"32"	"50.0"	"普通"	"WHH01353"	"10/24"	"国外"	"--"	"50.0"	"PI 307103"	"锯齿"	"PI 307103"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w284"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"142.0"	"桔黄"
"1134"	"4/13"	"Compositae(菊科)"	"24.96"	"伊朗"	"I4E00777"	"33"	"36.0"	"普通"	"WHH01354"	"10/23"	"国外"	"--"	"50.0"	"PI 343774"	"全缘"	"PI 343774"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w285"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"194.0"	"桔黄"
