"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"49"	"中"	"笋2"	"德州南瓜"	"葡匐蔓生"	"DE ZHOU NAN GUA"	"3.6"	"115"	"无"	"强"	"抗病毒病白粉"	"红"	"--"	"圆形"	"淡而无味"	"--"	"--"	"--"	"*"	"圆柱形"	"质粗较面"	"13"	"山东"	"V05D0126"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc009"	"山东德州市"	"红色"	"4上中-9"	"斑块状"	"棱"
"50"	"中"	"笋6"	"桓台玉瓜"	"葡匐蔓生"	"HUAN TAI YU GUA"	"3.8"	"115"	"无"	"强"	"抗白粉病毒"	"红"	"--"	"圆形"	"微甜"	"--"	"--"	"--"	"*"	"扁圆形"	"质中粗较"	"9"	"山东"	"V05D0128"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc010"	"山东桓台县"	"奶油色"	"4上中-9"	"线条状"	"棱"
"51"	"早"	"笋21"	"济宁白皮笋瓜"	"葡匐蔓生"	"JI NING BAI PI SUN GUA"	"3.3"	"100"	"无"	"强"	"抗病毒不抗白粉"	"红"	"--"	"圆形"	"淡而无味"	"--"	"--"	"--"	"*"	"圆柱形"	"细粒质密"	"8"	"山东"	"V05D0132"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc013"	"山东济宁市"	"--"	"4上中-9"	"--"	"棱"
"52"	"晚"	"笋9"	"阳信吊南瓜"	"葡匐蔓生"	"YANG XIN DIAO NAN GUA"	"7.2"	"125"	"无"	"强"	"抗病毒白粉"	"灰"	"--"	"圆形"	"淡而无味"	"--"	"--"	"--"	"*"	"圆柱形"	"纤维粗不"	"18"	"山东"	"V05D0137"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc011"	"山东阳信县"	"绿色"	"4上中-9"	"斑块状"	"棱"
"53"	"晚"	"笋13"	"白玉瓜"	"葡匐蔓生"	"BAI YU GUA"	"5.2"	"125"	"无"	"强"	"抗病毒不抗白粉"	"绿"	"--"	"圆形"	"淡而无味"	"--"	"--"	"--"	"*"	"圆柱形"	"细粒质密"	"21"	"山东"	"V05D0141"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc165"	"山东诸城县"	"绿色"	"4上中-9"	"--"	"棱"
"54"	"早"	"笋19"	"洋方瓜"	"葡匐蔓生"	"YANG FANG GUA"	"2.6"	"100"	"无"	"强"	"抗病毒"	"灰"	"--"	"圆形"	"甜"	"--"	"--"	"--"	"*"	"扁圆形"	"质中粗较"	"9"	"山东"	"V05D0142"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bc169"	"山东莒南县"	"绿色"	"4上中-9"	"斑块状"	"棱"
"55"	"--"	"Ⅱ5Bc051-3"	"洋窝瓜"	"葡匐蔓生"	"YANG WO GUA"	"2.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"灰色"	"*"	"扁圆形"	"致密"	"17"	"山西"	"V05D0143"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc070"	"山西安泽县"	"--"	"4下-8中"	"--"	"平"
"56"	"--"	"Ⅱ5Bc032B-1"	"长治番瓜"	"葡匐蔓生"	"CHANG ZHI FAN GUA"	"3.2"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*"	"扁圆形"	"致密"	"8"	"山西"	"V05D0144"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc064"	"山西长治市"	"--"	"4下-8中"	"--"	"平"
"57"	"--"	"Ⅱ5Bc012-3"	"大同金瓜"	"葡匐蔓生"	"DA TONG JIN GUA"	"1.7"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"扁圆形"	"致密"	"8"	"山西"	"V05D0145"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc002"	"山西大同市"	"--"	"4下-8中"	"--"	"平"
"58"	"--"	"Ⅱ5Bc054-2"	"浮山金瓜"	"葡匐蔓生"	"FU SHAN JIN GUA"	"4.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*"	"扁圆形"	"致密"	"15"	"山西"	"V05D0151"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc123"	"山西浮山县"	"--"	"4下-8中"	"--"	"平"
"59"	"--"	"Ⅱ5Bc043-4"	"河津金瓜"	"葡匐蔓生"	"HE JIN JIN GUA"	"4.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"*"	"圆柱形"	"致密"	"13"	"山西"	"V05D0153"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc006"	"山西河津县"	"--"	"4下-8中"	"--"	"具瘤"
"60"	"--"	"Ⅱ5Bc063-3"	"洪洞金瓜"	"葡匐蔓生"	"HONG DONG JIN GUA"	"4.0"	"113"	"无"	"强"	"抗"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*"	"圆形"	"致密"	"10"	"山西"	"V05D0154"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc075"	"山西洪洞县"	"--"	"4下-8中"	"--"	"平"
"61"	"--"	"Ⅱ5Bc002-3"	"侯马玉瓜"	"葡匐蔓生"	"HOU MA YU GUA"	"4.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"*两种果形,两种皮色"	"圆形"	"致密"	"13"	"山西"	"V05D0155"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc041"	"山西侯马市"	"--"	"4下-8中"	"--"	"平"
