"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"70"	"中"	"续Ⅱ5G002"	"柿饼南瓜"	"葡匐蔓生"	"SHI BING NAN GUA"	"7.5"	"--"	"多"	"中"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"3000"	"桔黄色"	"*"	"扁圆形"	"致密"	"15"	"湖北"	"V05C0216"	"湖北农科院经作所"	"耐热"	"Ⅱ5Bb399"	"湖北荆门市"	"--"	"3上-6中下收"	"--"	"棱"
"71"	"中"	"Ⅱ5B0001"	"南瓜"	"蔓生"	"NAN GUA"	"3.5"	"95"	"中"	"强"	"--"	"绿"	"--"	"心形"	"--"	"--"	"250"	"桔黄色"	"--"	"圆柱形"	"--"	"--"	"湖北"	"V05C0218"	"湖北农科院经作所"	"强"	"Ⅱ5Bb357"	"湖北松柏镇"	"--"	"3下-11上"	"--"	"具瘤"
"72"	"早"	"5-B22"	"青瓜"	"攀援蔓生"	"QING GUA"	"13.0"	"140"	"少"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"5500"	"红色"	"*"	"扁圆形"	"致密"	"7"	"湖南"	"V05C0219"	"湖南农科院蔬菜所"	"--"	"Ⅱ5Bb301"	"湖南保靖县"	"--"	"4-8.10"	"--"	"棱"
"73"	"中"	"5-B19"	"大饼子瓜"	"攀援蔓生"	"DA BING ZI GUA"	"12.0"	"110"	"少"	"中"	"--"	"红"	"--"	"掌状"	"微甜"	"--"	"3750"	"桔黄色"	"*"	"扁圆形"	"致密"	"14"	"湖南"	"V05C0220"	"湖南农科院蔬菜所"	"中"	"Ⅱ5Bb459"	"湖南长沙市"	"--"	"3下-7下"	"斑块状"	"平"
"74"	"晚"	"5-B52"	"磨盘南瓜"	"葡匐蔓生"	"MO PAN NAN GUA"	"12.0"	"110"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"3000"	"褐色"	"--"	"扁圆形"	"致密"	"17"	"湖南"	"V05C0221"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5Bb462"	"湖南郴州市"	"--"	"4中-7下9下"	"--"	"棱"
"75"	"早"	"5-B51"	"七叶早北瓜"	"葡匐蔓生"	"QI YE ZAO BEI GUA"	"0.9"	"80"	"--"	"强"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"1000"	"奶油色"	"--"	"扁圆形"	"圆滑致密"	"7"	"湖南"	"V05C0222"	"湖南农科院蔬菜所"	"耐寒"	"Ⅱ5Bb310"	"湖南慈利县"	"--"	"2下-6下"	"--"	"棱"
"76"	"晚"	"5-B36"	"甑皮南瓜"	"攀援蔓生"	"ZENG PI NAN GUA"	"11.5"	"140"	"多"	"中"	"抗"	"绿"	"黄色"	"掌状"	"甜"	"斑纹"	"4000"	"褐色"	"*"	"心形"	"致密"	"24"	"湖南"	"V05C0243"	"湖南农科院蔬菜所"	"耐热旱"	"Ⅱ5Bb618"	"湖南株州县"	"--"	"4上-9"	"--"	"平"
"77"	"晚"	"5-B37"	"柿饼南瓜"	"攀援蔓生"	"SHI BING NAN GUA"	"11.5"	"140"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"纹"	"3000"	"褐色"	"*"	"扁圆形"	"致密"	"20"	"湖南"	"V05C0244"	"湖南农科院蔬菜所"	"耐热旱"	"Ⅱ5Bb303"	"湖南株洲市"	"--"	"4上-9"	"--"	"棱"
"78"	"中"	"5-B06"	"五月南瓜"	"葡匐蔓生"	"WU YUE NAN GUA"	"10.0"	"120"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1500"	"褐色"	"*"	"扁圆形"	"致密"	"5"	"湖南"	"V05C0245"	"湖南农科院蔬菜所"	"耐热旱"	"Ⅱ5Bb298"	"湖南沅陵县"	"--"	"3上-7上.8中"	"--"	"棱"
"79"	"中"	"5-B49"	"柿饼南瓜"	"葡匐蔓生"	"SHI BING NAN GUA"	"10.0"	"90"	"少"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"桔黄色"	"--"	"扁圆形"	"软"	"21"	"湖南"	"V05C0246"	"湖南农科院蔬菜所"	"耐热"	"Ⅱ5Bb461"	"湖南溆浦县"	"--"	"3下-6下7中"	"--"	"棱"
