"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"45"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.5"	"4.9"	"MR"	"S"	"--"	"京DR 434"	"38.3"	"--"	"D-74108"	"3"	"--"	"--"	"0.54"	"90.0"	"18.87"	"100"	"98"	"63"	"--"	"S"	"5"	"50"	"4"	"7175/Ward"	"60"	"白长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000078"	"--"	"春"	"I1B14488"	"白"	"--"	"--"	"10"	"S"	
"46"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.9"	"--"	"--"	"--"	"--"	"青1418"	"52.4"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"115"	"34"	"--"	"--"	"--"	"--"	"--"	"7175/Ward-74108"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000079"	"--"	"弱冬"	"I1B24708"	"白"	"12.3"	"--"	"--"	"--"	
"47"	"中"	"作物所"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"8.5"	"5.0"	"R"	"S"	"--"	"京DR 1"	"35.1"	"--"	"--"	"3"	"--"	"100"	"0.51"	"90.8"	"15.95"	"100"	"86"	"30"	"--"	"S"	"5"	"100"	"4"	"13014"	"40"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000080"	"--"	"春"	"I1B15107"	"白"	"--"	"--"	"5"	"S"	
"48"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"灰"	"MR"	"--"	"国外"	"8.0"	"5.0"	"S"	"S"	"--"	"京DR 2"	"41.9"	"--"	"--"	"4"	"--"	"100"	"0.37"	"100.0"	"13.71"	"100"	"110"	"56"	"--"	"MS"	"6"	"100"	"3"	"51209 Li 3560"	"40"	"长"	"100.0"	"澳大利亚"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000081"	"9.0"	"春"	"I1B10322"	"白"	"11.4"	"--"	"40"	"MS"	
"49"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"6.8"	"--"	"--"	"--"	"--"	"青1419"	"44.8"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"94"	"31"	"--"	"--"	"--"	"--"	"--"	"68111/Rugbyxuard"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000082"	"--"	"弱冬"	"--"	"白"	"12.5"	"--"	"--"	"--"	
"50"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 3"	"43.0"	"--"	"--"	"--"	"--"	"100"	"0.39"	"100.0"	"15.74"	"--"	"84"	"46"	"--"	"0"	"0"	"100"	"3"	"367210"	"--"	"长"	"100.0"	"南斯拉夫"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000083"	"16.0"	"春"	"I1B14489"	"白"	"11.2"	"--"	"10"	"MS"	
"51"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"6.5"	"4.9"	"R"	"S"	"--"	"京DR 435"	"33.4"	"--"	"D-22234-52M-3Y-1M-OY"	"3"	"--"	"100"	"0.51"	"85.8"	"16.18"	"100"	"86"	"38"	"--"	"S"	"3"	"100"	"4"	"AA""S"""	"25"	"长"	"100.0"	"墨西哥"	"R"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000084"	"--"	"春"	"I1B15108"	"白"	"--"	"--"	"5"	"S"	
"52"	"晚"	"叙利亚"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"8.0"	"4.9"	"R"	"S"	"--"	"京DR 619"	"32.6"	"--"	"ICD74-0037-4L-1AP-2AP-1AP-OAP"	"3"	"--"	"100"	"0.58"	"86.7"	"20.40"	"100"	"87"	"48"	"--"	"S"	"3"	"100"	"3"	"AA""S""/CPE*3/GZ//TC*3/3/BYE*2/TC/4/EG""S""/Gdovz466"	"40"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000085"	"--"	"春"	"I1B14490"	"白"	"--"	"--"	"5"	"S"	
"53"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.3"	"--"	"--"	"--"	"--"	"青1420"	"55.4"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"90"	"29"	"--"	"--"	"--"	"--"	"--"	"Ab3040-Sentry"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000086"	"--"	"春"	"--"	"白"	"10.7"	"--"	"--"	"--"	
"54"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"淡红"	"--"	"--"	"国外"	"10.1"	"--"	"--"	"--"	"--"	"苏11177"	"33.8"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"133"	"70"	"--"	"--"	"--"	"--"	"--"	"Abyssinia (1)"	"--"	"长"	"--"	"埃塞俄比亚"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000087"	"--"	"弱冬"	"I1B15003"	"红"	"--"	"--"	"--"	"--"	
"55"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"9.2"	"4.9"	"0"	"S"	"--"	"苏11179"	"34.6"	"--"	"--"	"3"	"--"	"100"	"--"	"90.8"	"--"	"100"	"130"	"66"	"--"	"S"	"7"	"--"	"5"	"Abyssinia (2)"	"80"	"长"	"100.0"	"埃塞俄比亚"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000088"	"--"	"弱冬"	"--"	"红"	"--"	"--"	"--"	"MR"	
"56"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"11.0"	"--"	"--"	"--"	"--"	"苏11180"	"49.4"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"120"	"56"	"--"	"--"	"--"	"--"	"--"	"Abyssinia (3)"	"--"	"长"	"--"	"埃塞俄比亚"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000089"	"--"	"弱冬"	"I1B15004"	"红"	"--"	"--"	"--"	"--"	
"57"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"12.0"	"4.9"	"S"	"S"	"--"	"苏11181"	"39.0"	"--"	"--"	"3"	"--"	"100"	"--"	"94.2"	"--"	"100"	"130"	"31"	"--"	"MS"	"4"	"100"	"3"	"Abyssinia"	"80"	"长"	"100.0"	"埃塞俄比亚"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000090"	"--"	"冬"	"--"	"红"	"--"	"--"	"40"	"MR"	
"58"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"S"	"--"	"国外"	"7.5"	"5.0"	"0"	"S"	"--"	"苏11187"	"34.8"	"--"	"--"	"4"	"--"	"100"	"--"	"100.0"	"--"	"100"	"122"	"41"	"--"	"S"	"7"	"--"	"4"	"Adrianople"	"25"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000091"	"--"	"弱冬"	"I1B15005"	"红"	"--"	"--"	"--"	"MS"	
"59"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"11.5"	"--"	"--"	"--"	"--"	"苏11247"	"33.9"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"143"	"46"	"--"	"--"	"--"	"--"	"--"	"Adrianople"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000092"	"--"	"春"	"I1B15006"	"白"	"--"	"--"	"--"	"--"	
"60"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红毛"	"MR"	"--"	"国外"	"10.6"	"2.9"	"S"	"S"	"--"	"苏11275"	"37.8"	"--"	"--"	"3"	"--"	"100"	"--"	"72.5"	"--"	"100"	"125"	"42"	"--"	"MS"	"7"	"100"	"5"	"Adrianople"	"25"	"黑长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000093"	"--"	"春"	"--"	"红"	"--"	"--"	"25"	"MR"	
"61"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"黑毛"	"--"	"--"	"国外"	"11.7"	"1.9"	"S"	"MS"	"--"	"苏11278"	"40.7"	"--"	"--"	"3"	"--"	"100"	"--"	"47.5"	"--"	"100"	"125"	"38"	"--"	"MS"	"7"	"100"	"4"	"Adrianople"	"5"	"黑长"	"100.0"	"苏联"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000094"	"--"	"冬"	"--"	"白"	"--"	"--"	"25"	"MS"	
"62"	"中"	"以色列"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.0"	"--"	"--"	"--"	"--"	"京DR 21"	"23.7"	"--"	"--"	"--"	"--"	"--"	"0.49"	"--"	"15.67"	"--"	"84"	"36"	"--"	"--"	"--"	"--"	"--"	"Abu Fashi"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000095"	"--"	"春"	"I1B26921"	"红"	"--"	"--"	"--"	"--"	
"63"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"10.5"	"5.0"	"0"	"S"	"--"	"宁001"	"42.6"	"--"	"--"	"4"	"--"	"--"	"0.50"	"94.2"	"18.50"	"100"	"140"	"33"	"--"	"MS"	"5"	"--"	"5"	"Afghanistan"	"80"	"长"	"100.0"	"阿富汗"	"--"	"4"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000096"	"--"	"春"	"I1B14370"	"红"	"--"	"--"	"--"	"MS"	
"64"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"9.0"	"4.9"	"R"	"S"	"--"	"京DR 400"	"27.6"	"--"	"--"	"2"	"--"	"100"	"0.50"	"87.5"	"15.93"	"100"	"96"	"49"	"--"	"MS"	"5"	"100"	"4"	"AFN"	"25"	"长"	"100.0"	"阿富汗"	"R"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000097"	"--"	"春"	"I1B15109"	"白"	"--"	"--"	"5"	"S"	
"65"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.0"	"4.9"	"R"	"S"	"--"	"京DR627"	"30.0"	"--"	"CD-28146-D-4M-1Y-6Y-1M-OY"	"3"	"--"	"100"	"0.53"	"88.3"	"18.32"	"100"	"72"	"42"	"--"	"S"	"4"	"100"	"4"	"[(AFN""S""-IBI""S"" x COOS/OYCA""S"")SCO""S""] RABI""S"""	"25"	"长"	"100.0"	"墨西哥"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000098"	"--"	"春"	"I1B14491"	"白"	"--"	"--"	"2"	"S"	
"66"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.6"	"2.6"	"MR"	"MS"	"--"	"陕P 2367"	"52.5"	"--"	"--"	"3"	"--"	"100"	"0.42"	"37.5"	"12.94"	"100"	"105"	"46"	"--"	"MS"	"4"	"100"	"9"	"Africano"	"80"	"长"	"66.7"	"--"	"S"	"2"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000099"	"--"	"春"	"--"	"白"	"--"	"--"	"10"	"MS"	
"67"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.2"	"--"	"--"	"--"	"--"	"陕P 2365"	"43.3"	"--"	"--"	"--"	"--"	"--"	"0.48"	"--"	"15.44"	"--"	"115"	"39"	"--"	"--"	"--"	"--"	"--"	"Africano Damascos"	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000100"	"--"	"春"	"--"	"白"	"12.8"	"--"	"--"	"--"	
"68"	"早"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.1"	"5.0"	"0"	"S"	"--"	"宁002"	"35.1"	"--"	"--"	"4"	"--"	"--"	"0.38"	"100.0"	"14.39"	"100"	"75"	"35"	"--"	"MS"	"5"	"--"	"5"	"Ag.Elong x Tac-OY"	"25"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000101"	"--"	"春"	"I1B14371"	"白"	"--"	"--"	"--"	"S"	
"69"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"9.5"	"4.9"	"MR"	"S"	"--"	"京DR 436"	"30.0"	"--"	"D-23636-1M-6R-OM-1B"	"3"	"--"	"--"	"0.59"	"89.2"	"20.61"	"100"	"72"	"47"	"--"	"S"	"4"	"100"	"4"	"ALBE""S"""	"10"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000102"	"--"	"春"	"I1B14492"	"白"	"--"	"--"	"10"	"S"	
"70"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"11.1"	"1.8"	"S"	"MS"	"--"	"苏11248"	"33.8"	"--"	"--"	"2"	"--"	"100"	"--"	"45.0"	"--"	"100"	"125"	"45"	"--"	"MS"	"7"	"100"	"4"	"Alexandretla,syria"	"5"	"长"	"100.0"	"叙利亚"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000103"	"--"	"弱冬"	"I1B15007"	"白"	"--"	"--"	"40"	"MR"	
"71"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"15.5"	"5.0"	"0"	"S"	"--"	"苏11198"	"52.8"	"--"	"--"	"4"	"--"	"100"	"--"	"100.0"	"--"	"2"	"120"	"64"	"--"	"S"	"7"	"--"	"4"	"Algeria"	"2"	"黑长"	"100.0"	"阿尔及利亚"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000104"	"--"	"弱冬"	"--"	"白"	"--"	"--"	"--"	"MS"	
"72"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.5"	"4.9"	"MS"	"S"	"--"	"京DR405"	"24.7"	"--"	"--"	"2"	"--"	"100"	"0.55"	"90.0"	"19.66"	"100"	"84"	"53"	"--"	"MS"	"5"	"50"	"4"	"Algerian 69"	"40"	"长"	"100.0"	"阿尔及利亚"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000105"	"--"	"春"	"I1B14493"	"红"	"--"	"--"	"5"	"S"	
"73"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.6"	"--"	"--"	"--"	"--"	"陕P2372"	"49.0"	"--"	"--"	"--"	"--"	"--"	"0.36"	"--"	"13.30"	"--"	"125"	"34"	"--"	"--"	"--"	"--"	"--"	"Algeria Seville"	"--"	"长"	"--"	"阿尔及利亚"	"--"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000106"	"--"	"春"	"--"	"白"	"11.3"	"--"	"--"	"--"	
"74"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.0"	"5.0"	"MR"	"S"	"--"	"京DR 406"	"36.5"	"--"	"--"	"2"	"--"	"100"	"0.53"	"90.8"	"19.11"	"100"	"63"	"53"	"--"	"MS"	"5"	"50"	"3"	"Algodon"	"40"	"长"	"100.0"	"--"	"R"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000107"	"--"	"春"	"I1B14494"	"白"	"--"	"--"	"5"	"S"	
"75"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"S"	"--"	"国外"	"9.2"	"4.8"	"0"	"S"	"--"	"苏11195"	"36.8"	"--"	"--"	"3"	"--"	"100"	"--"	"90.0"	"--"	"100"	"120"	"53"	"--"	"S"	"7"	"--"	"3"	"Alonzo Ferrz"	"10"	"黑长"	"100.0"	"西班牙"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000108"	"--"	"弱冬"	"--"	"白"	"11.0"	"--"	"--"	"MS"	
"76"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.9"	"5.0"	"0"	"S"	"--"	"宁003"	"50.5"	"--"	"--"	"4"	"--"	"100"	"0.37"	"100.0"	"14.15"	"100"	"127"	"44"	"--"	"MS"	"5"	"--"	"5"	"Altai 426"	"5"	"黑长"	"100.0"	"澳大利亚"	"S"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000109"	"--"	"春"	"I1B14372"	"白"	"--"	"--"	"--"	"MR"	
"77"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"9.9"	"--"	"--"	"--"	"--"	"苏11244"	"37.8"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"120"	"45"	"--"	"--"	"--"	"--"	"--"	"Angora, Asia Minor"	"--"	"长"	"--"	"小亚西亚"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000111"	"--"	"春"	"--"	"白"	"13.6"	"--"	"--"	"--"	
"78"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"6.5"	"5.0"	"R"	"S"	"--"	"京DR 407"	"44.9"	"--"	"--"	"3"	"--"	"--"	"0.42"	"91.7"	"15.63"	"100"	"70"	"45"	"--"	"MS"	"3"	"2"	"4"	"Anhinga""S"""	"40"	"长"	"100.0"	"墨西哥"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000112"	"--"	"春"	"I1B14495"	"红"	"--"	"--"	"2"	"S"	
"79"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"8.6"	"2.1"	"MR"	"MS"	"--"	"陕P2370"	"39.8"	"--"	"--"	"3"	"--"	"100"	"0.40"	"40.0"	"12.43"	"90"	"125"	"35"	"--"	"MS"	"5"	"100"	"7"	"Akrona"	"5"	"长"	"53.3"	"--"	"S"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000113"	"--"	"春"	"I1B14951"	"白"	"--"	"--"	"40"	"MS"	
"80"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.5"	"5.0"	"MR"	"S"	"--"	"宁004"	"46.0"	"--"	"--"	"3"	"--"	"100"	"0.44"	"98.3"	"15.81"	"100"	"88"	"26"	"--"	"MS"	"4"	"10"	"4"	"Appio"	"5"	"长"	"100.0"	"意大利"	"S"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000114"	"--"	"春"	"I1B15145"	"白"	"--"	"--"	"10"	"S"	
"81"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.1"	"--"	"--"	"--"	"--"	"陕P2374"	"45.5"	"--"	"--"	"--"	"--"	"--"	"0.42"	"--"	"13.18"	"--"	"105"	"29"	"--"	"--"	"--"	"--"	"--"	"Apulla"	"--"	"长"	"--"	"--"	"--"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000115"	"--"	"春"	"I1B14952"	"白"	"11.8"	"--"	"--"	"--"	
"82"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"6.8"	"5.0"	"S"	"S"	"--"	"陕P2375"	"46.5"	"--"	"--"	"3"	"--"	"75"	"0.45"	"100.0"	"13.43"	"100"	"110"	"29"	"--"	"S"	"3"	"100"	"7"	"Arawa"	"10"	"长"	"100.0"	"--"	"MR"	"3"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"5"	"Gramineae(禾本科)"	"--"	"--"	"XM000116"	"--"	"春"	"I1B14953"	"白"	"--"	"--"	"40"	"MS"	
"83"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"8.9"	"4.9"	"0"	"S"	"--"	"苏11190"	"33.9"	"--"	"--"	"4"	"--"	"100"	"--"	"92.5"	"--"	"100"	"112"	"39"	"--"	"S"	"7"	"--"	"5"	"Arsus"	"80"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000117"	"--"	"冬"	"I1B26346"	"红"	"11.8"	"--"	"--"	"MS"	
"84"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"10.4"	"4.9"	"0"	"S"	"--"	"苏11186"	"41.4"	"--"	"--"	"3"	"--"	"100"	"--"	"96.7"	"--"	"100"	"117"	"54"	"--"	"S"	"7"	"--"	"4"	"Asia Minor (2)"	"80"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000118"	"--"	"弱冬"	"I1B26347"	"白"	"--"	"--"	"--"	"MR"	
"85"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"9.6"	"4.9"	"S"	"S"	"--"	"苏11284"	"49.4"	"--"	"--"	"4"	"--"	"100"	"--"	"96.7"	"--"	"100"	"140"	"49"	"--"	"MS"	"8"	"100"	"4"	"Asia Minor"	"10"	"长"	"100.0"	"小亚西亚"	"S"	"--"	"地方"	"Triticum turgidum L.(圆锥小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000119"	"--"	"冬"	"--"	"红"	"--"	"--"	"40"	"MR"	
"86"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"5.1"	"--"	"--"	"--"	"--"	"青1438"	"45.6"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"100"	"31"	"--"	"--"	"--"	"--"	"--"	"Atder""S""-Mexi""S"""	"--"	"长"	"--"	"--"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000120"	"--"	"春"	"I1B24709"	"白"	"13.4"	"--"	"--"	"--"	
"87"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.9"	"5.0"	"MR"	"S"	"--"	"京DR 53"	"36.0"	"--"	"--"	"4"	"--"	"80"	"0.38"	"100.0"	"14.93"	"--"	"82"	"40"	"--"	"0"	"6"	"100"	"3"	"Athena"	"--"	"长"	"100.0"	"意大利"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"5"	"Gramineae(禾本科)"	"--"	"--"	"XM000121"	"--"	"春"	"I1B14496"	"白"	"--"	"--"	"10"	"MS"	
"88"	"晚"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.2"	"5.0"	"MS"	"S"	"--"	"京DR 437"	"32.2"	"--"	"CD-10023-3M-4Y-4M-1Y-1M-OY"	"2"	"--"	"100"	"0.65"	"92.5"	"22.29"	"100"	"78"	"45"	"--"	"MS"	"3"	"50"	"5"	"ATO""S"" x AA""S""-PLC""S""/D67.2"	"40"	"长"	"100.0"	"墨西哥"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"5"	"Gramineae(禾本科)"	"--"	"--"	"XM000122"	"--"	"春"	"I1B14497"	"白"	"--"	"--"	"5"	"S"	
"89"	"中"	"墨西哥"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"6.9"	"5.0"	"MS"	"S"	"--"	"京DR 438"	"31.3"	"--"	"L162-2AB-1AP-OAP"	"2"	"--"	"100"	"0.60"	"93.3"	"20.73"	"100"	"72"	"31"	"--"	"MS"	"3"	"50"	"5"	"ATO""S""-BR""S"" x AL""S"""	"40"	"长"	"100.0"	"墨西哥"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000123"	"--"	"春"	"I1B14498"	"白"	"--"	"--"	"5"	"S"	
