"id"	"索引"	"标准编号"	"标准名称"	"发布日期"	"实施日期"	"标准类型"	"发布单位"	"起草单位"	"起草人"	"标准概述（300字以内）"	"全文"
"44"	"06a2fae2-542c-4ee2-abf6-38a3e2820941"	"GB/T 20860"	"包装热塑性软质薄膜袋折边处撕裂扩展试验方法"	"2007/3/21 "	"2007/9/1 0"	"国家标准"	"中华人民共和国国家质量监督检验检疫总局，中国国家标准化管理委员会"	"国家包装产品质量监督检验中心（天津）、国家包装产品质量监督检验中心（广州）"	"李华、刘波、朱丽萍、冯勇、邵忱、王振华、王青、张卫红"	"本标准规定了热塑性软质薄膜袋在给定条件下的折边处撕裂扩展力的试验方法。"	" "
"45"	"06af587d-aa59-4763-908d-ee84cbf92cf9"	"GB/T 20880-2007"	"食用葡萄糖"	"2007/2/2 0"	"2007/12/1 "	"国家标准"	"中华人民共和国国家质量监督检验检疫总局中国国家标准化管理委员会"	"中国食品发酵工业研究院、山东西王集团有限公司、鲁洲生物科技(山东)有限公司、安徽省丰原生物化学有限公司、秦皇岛骊弊淀粉股份有限公司、石家庄华营联合葡萄糖厂"	"郭新光、李伟、赵玉斌、常珠侠、茹彩友、崔淑贞"	"本标准规定了食用葡萄糖的术语和定义、产品分类、要求、试验方法、检验规则、标志、包装、运输和贮存。"	" "
"46"	"06d6a539-06cc-43e9-a16a-7ead00752e85"	"GB 29987-2014"	"食品安全国家标准 食品添加剂 胶基及其配料"	"2014/12/24"	"2015/12/24"	"国家标准"	"中华人民共和国国家卫生和计划生育委员会"	"未公开"	"未公开"	"本标准的附录C中C.1丁二烯-苯乙烯75/25、50/50  橡胶(丁苯橡胶)替代  GB  29987-2013  食品安全国家标准  食品添加剂  丁苯橡胶。"	" "
"47"	"06ef383a-1aca-42aa-88cd-d081ffce3c6f"	"GB/T 30357.5-2015"	"乌龙茶第5部分：肉桂"	"2015/7/3 0"	"2015/11/2 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"福建农林大学安溪茶学院、武夷星茶业有限公司、中华全国供销合作总社杭州茶
叶研究院、国家茶叶质量监督检验中心(福建)、泉州出人境检验检疫局、厦门清雅源实业有限公司、福建
省农业科学院茶叶研究所、福建省产品质量检验研究院"	"孙威江、陈泉宾、薛志慧、翁昆、黄伙水、李方、林锻炼、陈磊、洪明楷、姜咸彪、晃倩林、黄红霞。"	"GB/T  30357的本部分规定了肉桂的术语和定义、分类、要求、试验方法、检验规则、标志标签、包装、运输和贮存。"	" "
"48"	"072d9a25-f8d2-40de-8a14-143b64000a3b"	"GB/T 14454.11-2008"	"香料含酚量的测定"	"2008/7/15 "	"2008/11/1 "	"国家标准"	"中华人民共和国质量监督检验检疫总局、中国国家标准化管理委员会"	"上海香料研究所"	"徐易、曹怡、金其璋"	"GB/T  14454的本部分规定了用容量法测定香料含酚量的方法。"	" "
"49"	"07747730-1f5d-43b6-8df4-c3ba4b71d104"	"GB 1976-2008"	"食品添加剂 褐藻酸钠"	"2008/12/3 "	"2009/6/1 0"	"国家标准"	"中华人民共和国国家质量监督检验督检验检疫总局，中国国家标准化管理委员会"	"中国水产科学研究院黄海水产研究所"	"王联珠，李晓川，刘天红，路世勇，陈远惠，冷恺良"	"本标准代替GB  1976-1980"	" "
"50"	"07946aff-2510-45a9-86c0-2e7489640e0c"	"GB 28358-2012"	"食品安全国家标准 食品添加剂 丁酰乳酸丁酯"	"2012/4/25 "	"2012/6/25 "	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准适用于由乳酸丁酯和丁酸酐为原料制得的食品添加剂丁酰乳酸丁酯。"	" "
"51"	"079d0ee6-f9bc-48dd-a285-127c9b242c34"	"GB 5009.94-2012"	"食品安全国家标准 植物性食品中稀土元素的测定"	"2012/5/17 "	"2012/11/17"	"国家标准"	"中华人民共和国卫生部"	"未公开"	"未公开"	"本标准规定了用电感耦合等离子体质谱法测植物性食品中稀土元素的方法。  本标准代替GB/T  5009.94–2003《植物性食品中稀土的测定》，并同时代替GB/T  22290-2008《茶"	" "
"52"	"079e3125-e8d0-43d0-a34c-8e428342810f"	"GB 9691-1988"	"食品包装用聚乙烯树脂卫生标准"	"1988/8/10 "	"1989/6/1 0"	"国家标准"	"中华人民共和国卫生部"	"上海市食品卫生监督检验所"	"未公开"	"本标准规定了聚乙烯树脂的卫生要求。本标准适用于制作食品容器、食品的包装材料及食品工业用的聚乙烯树脂。 "	" "
"53"	"07d94d7f-ff35-4d35-b44c-32605b856deb"	"GB/T 5009.191-2006"	"食品中氯丙醇含量的测定"	"2006/9/14 "	"2007/1/1 0"	"国家标准"	"中华人民共和国卫生部中国国家标准化管理委员会"	"中国疾病预防控制中心营养与食品安全所"	"吴永宁、赵云峰、赵京玲、涂晓明、马永建、赵舰、李敬光"	"本标准规定了食品中氯丙醇含量的测定方法。"	" "
