"id"	"品资所编号"	"品种名称"	"系谱"	"原名"	"来源"	"原产地"	"选育单位"	"株高"	"千粒重"	"选育年限"	"备注"
"180"	"3"	"农大17"	"胜利麦/1817"				"北京农业大学"	"94"	"30.0"	"1957"	
"181"	"3"	"农大36"	"胜利麦/1817"				"北京农业大学"	"119"	"30.0"	"1957"	
"182"	"3"	"农大90"	"坎红麦/1817"				"北京农业大学"	"112"	"32.0"	"1957"	
"183"	"3"	"农大183"	"胜利麦/1817"				"北京农业大学"	"117"	"31.0"	"1957"	
"184"	"3"	"农大190"	"胜利麦/1817"				"北京农业大学"	"105"	"32.0"	"1957"	
"185"	"3"	"农大311"	"胜利麦/1817"				"北京农业大学"	"109"	"36.0"	"1957"	
"186"	"3"	"农大328"	"胜利麦/1817"				"北京农业大学"	"100"	"28.0"	"1957"	
"187"	"3"	"农大470"	"胜利麦/1817"				"北京农业大学"	"100"	"34.0"	"1957"	
"188"	"3"	"农大498"	"胜利麦/1817"				"北京农业大学"	"100"	"30.0"	"1957"	
"189"	"3"	"农大45"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"117"	"40.0"	"1965"	
"190"	"3"	"白粒45"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"117"	"35.0"	"1967"	
"191"	"3"	"东方红1号"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"117"	"38.0"	"1967"	
"192"	"3"	"东方红2号"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"117"	"40.0"	"1967"	
"193"	"3"	"东方红3号(农大45-5)"	"农大45穗选"				"北京农业大学"	"117"	"40.0"	"1967"	
"194"	"3"	"农大53"	"铁秆白/早洋麦"				"北京农业大学"	"95"	"40.0"	"1965"	
"195"	"3"	"农大62"	"铁秆白/早洋麦"				"北京农业大学"	"95"	"34.0"	"1965"	
"196"	"3"	"农大63"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"95"	"32.0"	"1965"	
"197"	"3"	"农大77"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"95"	"32.0"	"1965"	
"198"	"3"	"农大88"	"铁秆白/早洋麦"				"北京农业大学"	"107"	"38.0"	"1965"	
"199"	"3"	"农大108"	"农大183/水源11-1817//农大183"				"北京农业大学"	"105"	"36.0"	"1967"	
"200"	"3"	"农大119"	"农大183/伊利亚//农大183"				"北京农业大学"	"103"	"0.0"	"1969"	
"201"	"3"	"农大139"	"农大183/维尔//1817/30983"				"北京农业大学"	"93"	"36.0"	"1969"	
"202"	"3"	"农大140"	"农大183/维尔//农大183/916"				"北京农业大学"	"97"	"34.0"	"1969"	
"203"	"3"	"农大141"	"农大183维尔//农大183/916"				"北京农业大学"	"80"	"36.0"	"1969"	
"204"	"3"	"农大155"	"农大183/伊利亚//农大183"				"北京农业大学"	"110"	"35.0"	"1969"	
"205"	"3"	"农大157"	"农大183/伊利亚//农大183"				"北京农业大学"	"90"	"33.0"	"1969"	
"206"	"3"	"农大166"	"农大183/伊利亚//农大183"				"北京农业大学"	"106"	"33.0"	"1969"	
"207"	"3"	"农大179"	"农大45/北京8号"				"北京农业大学"	"95"	"34.0"	"1969"	
"208"	"3"	"农大185"	"农大183/维尔//2农大183"				"北京农业大学"	"95"	"34.0"	"197"	
"209"	"3"	"农大188(洛农8号)"	"农大183/30983//九兰4号/农大183"				"北京农业大学"	"100"	"34.0"	"1971"	
"210"	"3"	"农大198"	"农大45/北京8号"				"北京农业大学"	"90"	"34.0"	"1972"	
"211"	"3"	"农大199"	"尤皮1号/农大183//北京8号"				"北京农业大学"	"95"	"32.0"	"1972"	
"212"	"3"	"农大203(洛农9号)"	"农大45/北京8号"				"北京农业大学"	"95"	"34.0"	"1972"	
"213"	"3"	"农大147"	"泾惠30/苏联早熟1号"				"北京农业大学"	"102"	"0.0"	"1971"	
"214"	"3"	"农大151"	"农大183/50开-1//内乡36"				"北京农业大学"	"103"	"0.0"	"1971"	
"215"	"3"	"农大168"	"农大183//50开-5/门10/3/农大183/30983"				"北京农业大学"	"104"	"0.0"	"1971"	
"216"	"3"	"代85"	"弗朗塔纳/农大183"				"北京农业大学"				
"217"	"3"	"代86"	"早洋麦/蚂蚱麦//农大470/农大16"				"北京农业大学"				
"218"	"3"	"代87"	"鹅冠186/农大17//早洋麦"				"北京农业大学"				
"219"	"3"	"代89"	"马奎罗/50N4-1-2"				"北京农业大学"				
"220"	"3"	"代90"	"弗朗塔纳/农大183"				"北京农业大学"				
"221"	"3"	"代91"	"苏联早熟1号/农大183"				"北京农业大学"				
"222"	"3"	"代92"	"维尔/农大183"				"北京农业大学"				
"223"	"3"	"代93"	"水源11/农大183"				"北京农业大学"				
"224"	"3"	"代94"	"弗朗塔纳/农大183"				"北京农业大学"				
"225"	"3"	"代95"	"白蚂蚱/早洋麦"				"北京农业大学"				
"226"	"3"	"代96"	"鹅冠186/农大17//早洋麦"				"北京农业大学"				
"227"	"3"	"代97"	"鹅冠186/农大17//早洋麦"				"北京农业大学"				
"228"	"3"	"代98"	"鹅冠186/农大17//早洋麦"				"北京农业大学"				
"229"	"3"	"代99"	"早洋麦/蚂蚱麦//农大470/农大16"				"北京农业大学"				
"230"	"3"	"代100"	"农大16/早洋麦"				"北京农业大学"				
"231"	"3"	"代101"	"农大16/早洋麦"				"北京农业大学"				
"232"	"3"	"代102"	"农大16/早洋麦"				"北京农业大学"				
"233"	"3"	"代103"	"农大16/早洋麦"				"北京农业大学"				
"234"	"3"	"代105"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"105"	"34.0"		
"235"	"3"	"代106"	"鹅冠186/农大17//早洋麦"				"北京农业大学"	"105"	"32.0"		
"236"	"3"	"代107"	"农大16/早洋麦"				"北京农业大学"	"105"	"32.0"		
"237"	"3"	"代109"	"维尔/1817"				"北京农业大学"	"105"	"42.0"		
"238"	"3"	"代110"	"弗朗塔纳/农大183"				"北京农业大学"	"105"	"32.0"		
"239"	"3"	"代113"	"农大183//苏联早熟1号/农大183"				"北京农业大学"	"105"	"32.0"		
"240"	"3"	"代114"	"维尔/农大183"				"北京农业大学"	"105"	"32.0"		
"241"	"3"	"代115"	"红蚂蚱/早洋麦//马莲垛/30972"				"北京农业大学"	"105"	"33.0"		
"242"	"3"	"代116"	"弗朗塔纳/农大183"				"北京农业大学"	"105"	"32.0"		
"243"	"3"	"代117"	"维尔/农大90"				"北京农业大学"	"105"	"32.0"		
"244"	"3"	"代164"	"农大183/50开-1//内乡36"				"北京农业大学"	"105"	"32.0"		
"245"	"3"	"代165"	"30983/农大183"				"北京农业大学"	"105"	"32.0"		
"246"	"3"	"代168(1065)"	"农大183//50开-5/门10/3/农大183/30983"				"北京农业大学"	"105"	"32.0"		
"247"	"3"	"代174"	"尤皮1号/农大90//北京8号"				"北京农业大学"	"105"	"32.0"		
"248"	"3"	"代176(0139)"	"农大183/维尔//农大183"				"北京农业大学"	"105"	"32.0"		
"249"	"3"	"代177(0142)"	"50123/农大183"				"北京农业大学"	"105"	"32.0"		
"250"	"3"	"代178"	"农大45/北京8号"				"北京农业大学"	"105"	"32.0"		
"251"	"3"	"代181"	"30922/江东门"				"北京农业大学"	"105"	"32.0"		
