"id"	"熟性"	"炭疽病指"	"保存编号"	"品种名称"	"着果方向"	"食熟果皮色"	"维生素C"	"CMV病指"	"CMV发病率"	"果肉厚"	"统一编号"	"TMV发病率"	"风味"	"老熟种果色"	"外皮薄厚"	"亩产"	"单果重"	"译名"	"备注"	"省"	"首花节位"	"TMV病指"	"果实水分"	"生育期"	"保存单位"	"果形"	"干物质"	"用途"	"辣椒素"	"种子来源"	"株高"	"抗逆性"	"炭疽发病率"	"种质库编号"	"栽培季节"
"70"	"--"	"3.1880"	"6-C-22-99"	"镇远长线椒"	"向下"	"绿"	"282.46"	"0.6963"	"34.10"	"0.1"	"V06C0187"	"68.90"	"辣甜"	"红"	"--"	"--"	"7.8"	"ZHEN YUAN CHANG XIAN JIAO"	"--"	"贵州"	"14"	"0.3146"	"--"	"94"	"贵州农科院园艺所"	"长柱形"	"12.0000"	"生食熟食"	"0.080"	"贵州镇远县"	"69.8"	"强"	"2.5"	"Ⅱ6C0664"	"3下-5下"
"71"	"--"	"-0.0200"	"6-C-22-65"	"织金大菜椒"	"向下"	"绿"	"100.30"	"1.0200"	"100.00"	"0.1"	"V06C0188"	"100.00"	"甜辣"	"桔黄"	"--"	"--"	"6.4"	"ZHI JIN DA CAI JIAO"	"--"	"贵州"	"10"	"0.5500"	"--"	"75"	"贵州农科院园艺所"	"圆锥形"	"11.6600"	"生食熟食"	"0.039"	"贵州织金县"	"48.5"	"强"	"100.0"	"Ⅱ6C0652"	"3下-5下"
"72"	"晚"	"0.8000"	"6-C-22-69"	"红柿子椒"	"向下"	"绿"	"69.67"	"1.5800"	"84.21"	"0.4"	"V06C0192"	"100.00"	"甜辣"	"红"	"--"	"--"	"40.7"	"HONG SHI ZI JIAO"	"--"	"贵州"	"7"	"0.6600"	"适中"	"--"	"贵州农科院园艺所"	"扁圆形"	"10.8400"	"生食"	"0.108"	"贵州遵义市"	"70.0"	"中"	"96.6"	"Ⅱ6C0881"	"4中-5下"
"73"	"晚"	"-0.8600"	"椒77号"	"高邑牛角椒"	"向下"	"绿"	"129.30"	"1.5600"	"65.51"	"0.2"	"V06C0206"	"100.00"	"中辣"	"红"	"--"	"900"	"8.0"	"GAO YI NIU JIAO JIAO"	"--"	"河北"	"16"	"1.2900"	"中"	"65"	"河北农科院蔬菜所"	"圆锥形"	"17.2700"	"制干"	"0.098"	"河北高邑县"	"67.0"	"中"	"68.3"	"Ⅱ6C0400"	"1上-9下"
"74"	"中"	"-0.1000"	"椒106号"	"包子椒"	"向下侧生"	"绿"	"111.10"	"1.1900"	"73.52"	"0.5"	"V06C0207"	"100.00"	"甜"	"红"	"--"	"875"	"50.0"	"BAO ZI JIAO"	"--"	"河北"	"14"	"1.3900"	"多"	"60"	"河北农科院蔬菜所"	"方灯笼形"	"14.1300"	"生食"	"0.109"	"河北固安县"	"74.0"	"中"	"32.8"	"Ⅱ6C0413"	"1上-9下"
"75"	"晚"	"-0.6700"	"椒84号"	"线辣椒"	"向下"	"绿"	"124.80"	"1.4700"	"100.00"	"0.1"	"V06C0208"	"100.00"	"中辣"	"红"	"--"	"500"	"5.0"	"XIAN LA JIAO"	"--"	"河北"	"13"	"1.3900"	"少"	"65"	"河北农科院蔬菜所"	"圆锥形"	"17.8500"	"制干"	"0.036"	"河北固安县"	"--"	"中"	"53.1"	"Ⅱ6C0873"	"1上-9下"
"76"	"中"	"0.2700"	"椒105号"	"海兴柿子椒"	"向下侧生"	"绿"	"95.70"	"1.0400"	"76.35"	"0.5"	"V06C0209"	"100.00"	"甜"	"红"	"--"	"1250"	"76.0"	"HAI XING SHI ZI JIAO"	"--"	"河北"	"13"	"0.7800"	"多"	"55"	"河北农科院蔬菜所"	"方灯笼形"	"8.2600"	"生食"	"0.071"	"河北海兴县"	"61.0"	"中"	"27.4"	"Ⅱ6C0412"	"1上-7下"
"77"	"中"	"-0.1200"	"椒96号"	"石河辣椒二号"	"向下侧生"	"绿"	"110.60"	"1.0600"	"100.00"	"0.2"	"V06C0210"	"100.00"	"中辣"	"红"	"--"	"500"	"7.0"	"SHI HE LA JIAO ER HAO"	"--"	"河北"	"10"	"1.2000"	"中"	"55"	"河北农科院蔬菜所"	"圆锥形"	"16.0000"	"--"	"0.033"	"河北怀来县"	"59.0"	"中"	"38.3"	"Ⅱ6C0409"	"1上-9下"
"78"	"中"	"-0.4100"	"椒95号"	"石河辣椒一号"	"向下"	"绿"	"138.14"	"0.5700"	"100.00"	"0.1"	"V06C0211"	"100.00"	"中辣"	"红"	"--"	"550"	"5.0"	"SHI HE LA JIAO YI HAO"	"--"	"河北"	"11"	"1.0300"	"中"	"55"	"河北农科院蔬菜所"	"圆锥形"	"22.2900"	"--"	"0.125"	"河北怀来县"	"70.0"	"中"	"47.1"	"Ⅱ6C0408"	"1上-9下"
"79"	"晚"	"0.1200"	"椒86号"	"鸡泽羊角椒"	"向下侧生"	"绿"	"102.10"	"1.1400"	"86.11"	"0.3"	"V06C0220"	"100.00"	"中辣"	"红"	"--"	"950"	"11.0"	"JI ZE YANG JIAO JIAO"	"--"	"河北"	"14"	"0.7900"	"中"	"65"	"河北农科院蔬菜所"	"圆锥形"	"13.6700"	"制干"	"0.056"	"河北鸡泽县"	"78.0"	"中"	"100.0"	"Ⅱ6C0731"	"1上-9下"
